class_name,symptom_text,symptom_text_clean
Apple_Apple_Scab,Olive to dark-brown scab lesions on leaf surface causing distortion and early drop.,olive to dark brown scab lesions on leaf surface causing distortion and early drop
Apple_Black_Rot,Purple to dark brown circular leaf spots with concentric rings; tiny black pycnidia in centers.,purple to dark brown circular leaf spots with concentric rings tiny black pycnidia in centers
Apple_Cedar_Apple_Rust,Bright orange or yellow raised spots with red margins; gelatinous growth on underside.,bright orange or yellow raised spots with red margins gelatinous growth on underside
Apple_Healthy,"Leaf shows uniform green color, smooth surface, no spots, lesions, or chlorosis.",leaf shows uniform green color smooth surface no spots lesions or chlorosis
Apple_Leaf,Apple leaf showing mottling or scattered spots indicating stress or disease.,apple leaf showing mottling or scattered spots indicating stress or disease
Apple_Rust_Leaf,Orange rust pustules on underside with yellow-orange spots on upper surface.,orange rust pustules on underside with yellow orange spots on upper surface
Apple_Scab,Olive-green to brown velvety spots with yellow halos that enlarge and cause leaf drop.,olive green to brown velvety spots with yellow halos that enlarge and cause leaf drop
Bell_Pepper_Leaf,Pepper leaf with mottling and minor necrotic flecks indicating early disease.,pepper leaf with mottling and minor necrotic flecks indicating early disease
Bell_Pepper_Leaf_Spot,Small dark water-soaked spots that turn brown with yellow halos on pepper leaves.,small dark water soaked spots that turn brown with yellow halos on pepper leaves
Blueberry_Healthy,Glossy green leaf with even coloration and no necrotic or chlorotic areas.,glossy green leaf with even coloration and no necrotic or chlorotic areas
Blueberry_Leaf,Reddish-brown leaf spots and marginal blight leading to premature reddening.,reddish brown leaf spots and marginal blight leading to premature reddening
Cherry_Including_Sour_Healthy,Firm green cherry leaf with intact margins and no spots or discoloration.,firm green cherry leaf with intact margins and no spots or discoloration
Cherry_Including_Sour_Powdery_Mildew,"White powdery fungal growth on upper surface, causes leaf curl and pale blotches.",white powdery fungal growth on upper surface causes leaf curl and pale blotches
Cherry_Leaf,Purple to brown circular spots that may drop out forming shot holes.,purple to brown circular spots that may drop out forming shot holes
Corn_Gray_Leaf_Spot,Narrow rectangular gray lesions parallel to veins; leaf tissue becomes necrotic.,narrow rectangular gray lesions parallel to veins leaf tissue becomes necrotic
Corn_Leaf_Blight,Large elongated tan lesions with chlorotic borders leading to leaf blight.,large elongated tan lesions with chlorotic borders leading to leaf blight
