text,label
plant affected with dry patches,Tomato Early Blight
leaves have dry patches,Tomato Early Blight
clear signs of brown spots,Tomato Early Blight
plant leaves show dry patches,Tomato Early Blight
clear signs of brown spots,Tomato Early Blight
symptoms include dry patches on leaves,Tomato Early Blight
plant leaves show circular lesions,Tomato Early Blight
clear signs of brown spots,Tomato Early Blight
clear signs of circular lesions,Tomato Early Blight
clear signs of dry patches,Tomato Early Blight
clear signs of dry patches,Tomato Early Blight
clear signs of circular lesions,Tomato Early Blight
leaves have brown spots,Tomato Early Blight
symptoms include circular lesions on leaves,Tomato Early Blight
plant leaves show brown spots,Tomato Early Blight
visible brown spots on plant leaves,Tomato Early Blight
leaf showing circular lesions symptoms,Tomato Early Blight
clear signs of brown spots,Tomato Early Blight
plant leaves show circular lesions,Tomato Early Blight
plant leaves show circular lesions,Tomato Early Blight
plant leaves show dry patches,Tomato Early Blight
plant affected with circular lesions,Tomato Early Blight
leaves have dry patches,Tomato Early Blight
plant affected with dry patches,Tomato Early Blight
clear signs of dry patches,Tomato Early Blight
leaves have brown spots,Tomato Early Blight
plant affected with dry patches,Tomato Early Blight
visible circular lesions on plant leaves,Tomato Early Blight
plant affected with brown spots,Tomato Early Blight
plant leaves show circular lesions,Tomato Early Blight
clear signs of dry patches,Tomato Early Blight
clear signs of circular lesions,Tomato Early Blight
leaves have circular lesions,Tomato Early Blight
symptoms include circular lesions on leaves,Tomato Early Blight
leaf showing brown spots symptoms,Tomato Early Blight
plant affected with brown spots,Tomato Early Blight
visible brown spots on plant leaves,Tomato Early Blight
leaf showing brown spots symptoms,Tomato Early Blight
visible brown spots on plant leaves,Tomato Early Blight
plant affected with dry patches,Tomato Early Blight
visible brown spots on plant leaves,Tomato Early Blight
visible circular lesions on plant leaves,Tomato Early Blight
symptoms include circular lesions on leaves,Tomato Early Blight
visible circular lesions on plant leaves,Tomato Early Blight
symptoms include circular lesions on leaves,Tomato Early Blight
plant affected with brown spots,Tomato Early Blight
leaf showing brown spots symptoms,Tomato Early Blight
visible circular lesions on plant leaves,Tomato Early Blight
plant leaves show dry patches,Tomato Early Blight
visible brown spots on plant leaves,Tomato Early Blight
leaf showing water soaked lesions symptoms,Tomato Late Blight
symptoms include water soaked lesions on leaves,Tomato Late Blight
leaves have black rot,Tomato Late Blight
clear signs of leaf decay,Tomato Late Blight
leaf showing leaf decay symptoms,Tomato Late Blight
clear signs of leaf decay,Tomato Late Blight
symptoms include leaf decay on leaves,Tomato Late Blight
leaves have black rot,Tomato Late Blight
clear signs of water soaked lesions,Tomato Late Blight
leaves have water soaked lesions,Tomato Late Blight
plant leaves show leaf decay,Tomato Late Blight
symptoms include water soaked lesions on leaves,Tomato Late Blight
plant leaves show leaf decay,Tomato Late Blight
leaves have black rot,Tomato Late Blight
symptoms include water soaked lesions on leaves,Tomato Late Blight
symptoms include black rot on leaves,Tomato Late Blight
plant affected with leaf decay,Tomato Late Blight
plant affected with leaf decay,Tomato Late Blight
visible black rot on plant leaves,Tomato Late Blight
clear signs of leaf decay,Tomato Late Blight
leaves have leaf decay,Tomato Late Blight
plant affected with black rot,Tomato Late Blight
leaf showing water soaked lesions symptoms,Tomato Late Blight
visible black rot on plant leaves,Tomato Late Blight
plant leaves show black rot,Tomato Late Blight
plant affected with black rot,Tomato Late Blight
leaves have black rot,Tomato Late Blight
leaf showing leaf decay symptoms,Tomato Late Blight
plant affected with black rot,Tomato Late Blight
plant leaves show black rot,Tomato Late Blight
leaf showing water soaked lesions symptoms,Tomato Late Blight
leaf showing leaf decay symptoms,Tomato Late Blight
leaf showing black rot symptoms,Tomato Late Blight
visible black rot on plant leaves,Tomato Late Blight
plant leaves show leaf decay,Tomato Late Blight
plant affected with water soaked lesions,Tomato Late Blight
visible black rot on plant leaves,Tomato Late Blight
clear signs of leaf decay,Tomato Late Blight
leaf showing black rot symptoms,Tomato Late Blight
leaf showing leaf decay symptoms,Tomato Late Blight
visible water soaked lesions on plant leaves,Tomato Late Blight
visible leaf decay on plant leaves,Tomato Late Blight
symptoms include water soaked lesions on leaves,Tomato Late Blight
symptoms include black rot on leaves,Tomato Late Blight
symptoms include black rot on leaves,Tomato Late Blight
clear signs of leaf decay,Tomato Late Blight
plant affected with leaf decay,Tomato Late Blight
leaf showing leaf decay symptoms,Tomato Late Blight
leaf showing water soaked lesions symptoms,Tomato Late Blight
clear signs of leaf decay,Tomato Late Blight
visible yellowing on plant leaves,Tomato Yellow Leaf Curl Virus
plant leaves show leaf curl,Tomato Yellow Leaf Curl Virus
leaves have yellowing,Tomato Yellow Leaf Curl Virus
visible yellowing on plant leaves,Tomato Yellow Leaf Curl Virus
symptoms include yellowing on leaves,Tomato Yellow Leaf Curl Virus
plant leaves show stunted growth,Tomato Yellow Leaf Curl Virus
clear signs of leaf curl,Tomato Yellow Leaf Curl Virus
leaves have stunted growth,Tomato Yellow Leaf Curl Virus
leaf showing stunted growth symptoms,Tomato Yellow Leaf Curl Virus
visible leaf curl on plant leaves,Tomato Yellow Leaf Curl Virus
symptoms include stunted growth on leaves,Tomato Yellow Leaf Curl Virus
symptoms include leaf curl on leaves,Tomato Yellow Leaf Curl Virus
leaf showing stunted growth symptoms,Tomato Yellow Leaf Curl Virus
symptoms include stunted growth on leaves,Tomato Yellow Leaf Curl Virus
leaves have yellowing,Tomato Yellow Leaf Curl Virus
leaf showing leaf curl symptoms,Tomato Yellow Leaf Curl Virus
leaves have leaf curl,Tomato Yellow Leaf Curl Virus
leaf showing yellowing symptoms,Tomato Yellow Leaf Curl Virus
visible leaf curl on plant leaves,Tomato Yellow Leaf Curl Virus
symptoms include leaf curl on leaves,Tomato Yellow Leaf Curl Virus
clear signs of yellowing,Tomato Yellow Leaf Curl Virus
visible yellowing on plant leaves,Tomato Yellow Leaf Curl Virus
plant affected with yellowing,Tomato Yellow Leaf Curl Virus
leaf showing leaf curl symptoms,Tomato Yellow Leaf Curl Virus
plant affected with yellowing,Tomato Yellow Leaf Curl Virus
visible stunted growth on plant leaves,Tomato Yellow Leaf Curl Virus
plant affected with leaf curl,Tomato Yellow Leaf Curl Virus
leaves have stunted growth,Tomato Yellow Leaf Curl Virus
leaf showing yellowing symptoms,Tomato Yellow Leaf Curl Virus
plant leaves show stunted growth,Tomato Yellow Leaf Curl Virus
plant leaves show stunted growth,Tomato Yellow Leaf Curl Virus
plant leaves show stunted growth,Tomato Yellow Leaf Curl Virus
clear signs of leaf curl,Tomato Yellow Leaf Curl Virus
leaves have yellowing,Tomato Yellow Leaf Curl Virus
visible yellowing on plant leaves,Tomato Yellow Leaf Curl Virus
