text ,label (Class)
symptoms include olive green spots on leaves,Apple___Apple_scab
visible signs are olive green spots on leaves,Apple___Apple_scab
plant has olive green spots on leaves,Apple___Apple_scab
the plant is showing olive green spots on leaves,Apple___Apple_scab
i see olive green spots on leaves,Apple___Apple_scab
the plant is showing olive green spots on leaves,Apple___Apple_scab
leaves show olive green spots on leaves,Apple___Apple_scab
plant has olive green spots on leaves,Apple___Apple_scab
symptoms include olive green spots on leaves,Apple___Apple_scab
there are olive green spots on leaves on leaves,Apple___Apple_scab
visible signs are olive green spots on leaves,Apple___Apple_scab
plant has olive green spots on leaves,Apple___Apple_scab
plant has olive green spots on leaves,Apple___Apple_scab
visible signs are olive green spots on leaves,Apple___Apple_scab
plant has olive green spots on leaves,Apple___Apple_scab
symptoms include dark scabby lesions on fruit,Apple___Apple_scab
leaves show dark scabby lesions on fruit,Apple___Apple_scab
the plant is showing dark scabby lesions on fruit,Apple___Apple_scab
there are dark scabby lesions on fruit on leaves,Apple___Apple_scab
visible signs are dark scabby lesions on fruit,Apple___Apple_scab
there are dark scabby lesions on fruit on leaves,Apple___Apple_scab
the plant is showing dark scabby lesions on fruit,Apple___Apple_scab
leaves show dark scabby lesions on fruit,Apple___Apple_scab
i see dark scabby lesions on fruit,Apple___Apple_scab
visible signs are dark scabby lesions on fruit,Apple___Apple_scab
visible signs are dark scabby lesions on fruit,Apple___Apple_scab
visible signs are dark scabby lesions on fruit,Apple___Apple_scab
leaves show dark scabby lesions on fruit,Apple___Apple_scab
plant has dark scabby lesions on fruit,Apple___Apple_scab
plant has dark scabby lesions on fruit,Apple___Apple_scab
the plant is showing yellowing around leaf spots,Apple___Apple_scab
visible signs are yellowing around leaf spots,Apple___Apple_scab
visible signs are yellowing around leaf spots,Apple___Apple_scab
plant has yellowing around leaf spots,Apple___Apple_scab
there are yellowing around leaf spots on leaves,Apple___Apple_scab
there are yellowing around leaf spots on leaves,Apple___Apple_scab
visible signs are yellowing around leaf spots,Apple___Apple_scab
i see yellowing around leaf spots,Apple___Apple_scab
visible signs are yellowing around leaf spots,Apple___Apple_scab
visible signs are yellowing around leaf spots,Apple___Apple_scab
i see yellowing around leaf spots,Apple___Apple_scab
the plant is showing yellowing around leaf spots,Apple___Apple_scab
there are yellowing around leaf spots on leaves,Apple___Apple_scab
visible signs are yellowing around leaf spots,Apple___Apple_scab
the plant is showing yellowing around leaf spots,Apple___Apple_scab
visible signs are black rotten spots on fruit,Apple___Black_rot
symptoms include black rotten spots on fruit,Apple___Black_rot
symptoms include black rotten spots on fruit,Apple___Black_rot
the plant is showing black rotten spots on fruit,Apple___Black_rot
leaves show black rotten spots on fruit,Apple___Black_rot
the plant is showing black rotten spots on fruit,Apple___Black_rot
the plant is showing black rotten spots on fruit,Apple___Black_rot
there are black rotten spots on fruit on leaves,Apple___Black_rot
plant has black rotten spots on fruit,Apple___Black_rot
symptoms include black rotten spots on fruit,Apple___Black_rot
i see black rotten spots on fruit,Apple___Black_rot
the plant is showing black rotten spots on fruit,Apple___Black_rot
leaves show black rotten spots on fruit,Apple___Black_rot
i see black rotten spots on fruit,Apple___Black_rot
plant has black rotten spots on fruit,Apple___Black_rot
plant has purple lesions on leaves,Apple___Black_rot
leaves show purple lesions on leaves,Apple___Black_rot
plant has purple lesions on leaves,Apple___Black_rot
visible signs are purple lesions on leaves,Apple___Black_rot
the plant is showing purple lesions on leaves,Apple___Black_rot
the plant is showing purple lesions on leaves,Apple___Black_rot
i see purple lesions on leaves,Apple___Black_rot
plant has purple lesions on leaves,Apple___Black_rot
the plant is showing purple lesions on leaves,Apple___Black_rot
the plant is showing purple lesions on leaves,Apple___Black_rot
plant has purple lesions on leaves,Apple___Black_rot
leaves show purple lesions on leaves,Apple___Black_rot
plant has purple lesions on leaves,Apple___Black_rot
visible signs are purple lesions on leaves,Apple___Black_rot
visible signs are purple lesions on leaves,Apple___Black_rot
visible signs are leaf edges turning brown,Apple___Black_rot
symptoms include leaf edges turning brown,Apple___Black_rot
there are leaf edges turning brown on leaves,Apple___Black_rot
plant has leaf edges turning brown,Apple___Black_rot
there are leaf edges turning brown on leaves,Apple___Black_rot
visible signs are leaf edges turning brown,Apple___Black_rot
plant has leaf edges turning brown,Apple___Black_rot
there are leaf edges turning brown on leaves,Apple___Black_rot
visible signs are leaf edges turning brown,Apple___Black_rot
plant has leaf edges turning brown,Apple___Black_rot
visible signs are leaf edges turning brown,Apple___Black_rot
the plant is showing leaf edges turning brown,Apple___Black_rot
leaves show leaf edges turning brown,Apple___Black_rot
i see leaf edges turning brown,Apple___Black_rot
there are leaf edges turning brown on leaves,Apple___Black_rot
the plant is showing bright orange spots on leaves,Apple___Cedar_apple_rust
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
there are bright orange spots on leaves on leaves,Apple___Cedar_apple_rust
plant has bright orange spots on leaves,Apple___Cedar_apple_rust
the plant is showing bright orange spots on leaves,Apple___Cedar_apple_rust
the plant is showing bright orange spots on leaves,Apple___Cedar_apple_rust
there are bright orange spots on leaves on leaves,Apple___Cedar_apple_rust
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
there are bright orange spots on leaves on leaves,Apple___Cedar_apple_rust
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
plant has bright orange spots on leaves,Apple___Cedar_apple_rust
leaves show bright orange spots on leaves,Apple___Cedar_apple_rust
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
plant has bright orange spots on leaves,Apple___Cedar_apple_rust
the plant is showing bright orange spots on leaves,Apple___Cedar_apple_rust
plant has yellow leaf discoloration,Apple___Cedar_apple_rust
visible signs are yellow leaf discoloration,Apple___Cedar_apple_rust
the plant is showing yellow leaf discoloration,Apple___Cedar_apple_rust
plant has yellow leaf discoloration,Apple___Cedar_apple_rust
i see yellow leaf discoloration,Apple___Cedar_apple_rust
leaves show yellow leaf discoloration,Apple___Cedar_apple_rust
plant has yellow leaf discoloration,Apple___Cedar_apple_rust
symptoms include yellow leaf discoloration,Apple___Cedar_apple_rust
the plant is showing yellow leaf discoloration,Apple___Cedar_apple_rust
i see yellow leaf discoloration,Apple___Cedar_apple_rust
the plant is showing yellow leaf discoloration,Apple___Cedar_apple_rust
i see yellow leaf discoloration,Apple___Cedar_apple_rust
the plant is showing yellow leaf discoloration,Apple___Cedar_apple_rust
there are yellow leaf discoloration on leaves,Apple___Cedar_apple_rust
there are yellow leaf discoloration on leaves,Apple___Cedar_apple_rust
leaves show small tube-like structures under leaves,Apple___Cedar_apple_rust
the plant is showing small tube-like structures under leaves,Apple___Cedar_apple_rust
there are small tube-like structures under leaves on leaves,Apple___Cedar_apple_rust
visible signs are small tube-like structures under leaves,Apple___Cedar_apple_rust
i see small tube-like structures under leaves,Apple___Cedar_apple_rust
there are small tube-like structures under leaves on leaves,Apple___Cedar_apple_rust
visible signs are small tube-like structures under leaves,Apple___Cedar_apple_rust
leaves show small tube-like structures under leaves,Apple___Cedar_apple_rust
visible signs are small tube-like structures under leaves,Apple___Cedar_apple_rust
visible signs are small tube-like structures under leaves,Apple___Cedar_apple_rust
the plant is showing small tube-like structures under leaves,Apple___Cedar_apple_rust
the plant is showing small tube-like structures under leaves,Apple___Cedar_apple_rust
the plant is showing small tube-like structures under leaves,Apple___Cedar_apple_rust
i see small tube-like structures under leaves,Apple___Cedar_apple_rust
the plant is showing small tube-like structures under leaves,Apple___Cedar_apple_rust
symptoms include green healthy leaves,Apple___healthy
symptoms include green healthy leaves,Apple___healthy
plant has green healthy leaves,Apple___healthy
visible signs are green healthy leaves,Apple___healthy
i see green healthy leaves,Apple___healthy
visible signs are green healthy leaves,Apple___healthy
i see green healthy leaves,Apple___healthy
i see green healthy leaves,Apple___healthy
i see green healthy leaves,Apple___healthy
